País,Estado/Región,"C.P./Código Postal","Subtotal del Pedido (y superior)","Precio del envío"
MEX,*,13310,9.0000,2922.0000
MEX,*,13315,9.0000,2922.0000
MEX,*,13316,9.0000,2922.0000
MEX,*,13317,0.0000,2922.0000
MEX,*,13317,9.0000,2922.0000
MEX,*,13318,0.0000,2922.0000
MEX,*,13319,0.0000,2922.0000
MEX,*,13360,0.0000,2922.0000
MEX,*,13363,0.0000,2922.0000
MEX,*,1340,8.0000,2922.0000
MEX,*,13400,0.0000,2922.0000
MEX,*,13410,0.0000,2922.0000
MEX,*,13419,0.0000,2922.0000
MEX,*,13420,0.0000,2922.0000
MEX,*,13429,0.0000,2922.0000
MEX,*,13430,0.0000,2922.0000
MEX,*,13440,0.0000,2922.0000
MEX,*,13450,0.0000,2922.0000
MEX,*,13460,0.0000,2922.0000
MEX,*,13508,0.0000,2922.0000
MEX,*,13509,0.0000,2922.0000
MEX,*,13510,0.0000,2922.0000
MEX,*,13520,0.0000,2922.0000
MEX,*,13529,0.0000,2922.0000
MEX,*,13530,0.0000,2922.0000
MEX,*,13540,0.0000,2922.0000
MEX,*,13545,0.0000,2922.0000
MEX,*,13546,0.0000,2922.0000
MEX,*,13549,0.0000,2922.0000
MEX,*,13550,0.0000,2922.0000
MEX,*,13559,0.0000,2922.0000
MEX,*,13600,0.0000,2922.0000
MEX,*,13610,0.0000,2922.0000
MEX,*,13625,0.0000,2922.0000
MEX,*,13630,0.0000,2922.0000
MEX,*,13640,0.0000,2922.0000
MEX,*,13700,0.0000,2922.0000
MEX,*,1376,8.0000,2922.0000
MEX,*,1377,8.0000,2922.0000
MEX,*,1379,8.0000,2922.0000
MEX,*,1389,8.0000,2922.0000
MEX,*,1400,8.0000,2922.0000
MEX,*,1400,9.0000,2922.0000
MEX,*,14000,0.0000,2922.0000
MEX,*,14009,0.0000,2922.0000
MEX,*,14010,0.0000,2922.0000
MEX,*,14017,0.0000,2922.0000
MEX,*,14020,0.0000,2922.0000
MEX,*,14030,0.0000,2922.0000
MEX,*,14038,0.0000,2922.0000
MEX,*,14039,0.0000,2922.0000
MEX,*,14040,0.0000,2922.0000
MEX,*,14049,0.0000,2922.0000
