País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,13180,0.0000,399.0000
MEX,*,01320,0.0000,399.0000
MEX,*,13200,0.0000,399.0000
MEX,*,13209,0.0000,399.0000
MEX,*,13210,0.0000,399.0000
MEX,*,13219,0.0000,399.0000
MEX,*,13220,0.0000,399.0000
MEX,*,13229,0.0000,399.0000
MEX,*,13230,0.0000,399.0000
MEX,*,13250,0.0000,399.0000
MEX,*,13270,0.0000,399.0000
MEX,*,13273,0.0000,399.0000
MEX,*,13278,0.0000,399.0000
MEX,*,13280,0.0000,399.0000
MEX,*,01330,0.0000,399.0000
MEX,*,13300,0.0000,399.0000
MEX,*,13310,0.0000,399.0000
MEX,*,13315,0.0000,399.0000
MEX,*,13316,0.0000,399.0000
MEX,*,13317,0.0000,399.0000
MEX,*,13318,0.0000,399.0000
MEX,*,13319,0.0000,399.0000
MEX,*,13360,0.0000,399.0000
MEX,*,13363,0.0000,399.0000
MEX,*,01340,0.0000,399.0000
MEX,*,13400,0.0000,399.0000
MEX,*,13410,0.0000,399.0000
MEX,*,13419,0.0000,399.0000
MEX,*,13420,0.0000,399.0000
MEX,*,13429,0.0000,399.0000
MEX,*,13430,0.0000,399.0000
MEX,*,13440,0.0000,399.0000
MEX,*,13450,0.0000,399.0000
MEX,*,13460,0.0000,399.0000
MEX,*,13508,0.0000,399.0000
MEX,*,13509,0.0000,399.0000
MEX,*,13510,0.0000,399.0000
MEX,*,13520,0.0000,399.0000
MEX,*,13529,0.0000,399.0000
MEX,*,13530,0.0000,399.0000
MEX,*,13540,0.0000,399.0000
MEX,*,13545,0.0000,399.0000
MEX,*,13546,0.0000,399.0000
MEX,*,13549,0.0000,399.0000
MEX,*,13550,0.0000,399.0000
MEX,*,13559,0.0000,399.0000
MEX,*,13600,0.0000,399.0000
MEX,*,13610,0.0000,399.0000
MEX,*,13625,0.0000,399.0000
MEX,*,13630,0.0000,399.0000
MEX,*,13640,0.0000,399.0000
MEX,*,13700,0.0000,399.0000
MEX,*,01376,0.0000,399.0000
MEX,*,01377,0.0000,399.0000
MEX,*,01379,0.0000,399.0000
MEX,*,01389,0.0000,399.0000
MEX,*,01400,0.0000,399.0000
MEX,*,14000,0.0000,399.0000
MEX,*,14009,0.0000,399.0000
MEX,*,14010,0.0000,399.0000
MEX,*,14017,0.0000,399.0000
MEX,*,14020,0.0000,399.0000
MEX,*,14030,0.0000,399.0000
MEX,*,14038,0.0000,399.0000
MEX,*,14039,0.0000,399.0000
MEX,*,14040,0.0000,399.0000
MEX,*,14049,0.0000,399.0000
MEX,*,14050,0.0000,399.0000
MEX,*,14060,0.0000,399.0000
MEX,*,01407,0.0000,399.0000
MEX,*,14070,0.0000,399.0000
MEX,*,01408,0.0000,399.0000
MEX,*,14080,0.0000,399.0000
MEX,*,14090,0.0000,399.0000
MEX,*,14098,0.0000,399.0000
MEX,*,01410,0.0000,399.0000
MEX,*,14100,0.0000,399.0000
MEX,*,14108,0.0000,399.0000
MEX,*,14110,0.0000,399.0000
MEX,*,14120,0.0000,399.0000
MEX,*,14129,0.0000,399.0000
MEX,*,14130,0.0000,399.0000
MEX,*,14140,0.0000,399.0000
MEX,*,14141,0.0000,399.0000
MEX,*,14148,0.0000,399.0000
MEX,*,14149,0.0000,399.0000
MEX,*,14150,0.0000,399.0000
MEX,*,14160,0.0000,399.0000
MEX,*,01419,0.0000,399.0000
MEX,*,01420,0.0000,399.0000
MEX,*,14200,0.0000,399.0000
MEX,*,14208,0.0000,399.0000
MEX,*,14209,0.0000,399.0000
MEX,*,14210,0.0000,399.0000
MEX,*,14219,0.0000,399.0000
MEX,*,14220,0.0000,399.0000
MEX,*,14230,0.0000,399.0000
MEX,*,14239,0.0000,399.0000
MEX,*,14240,0.0000,399.0000
MEX,*,14248,0.0000,399.0000
MEX,*,14250,0.0000,399.0000
MEX,*,14260,0.0000,399.0000
MEX,*,14266,0.0000,399.0000
MEX,*,14267,0.0000,399.0000
MEX,*,14268,0.0000,399.0000
MEX,*,14269,0.0000,399.0000
MEX,*,14270,0.0000,399.0000
MEX,*,14273,0.0000,399.0000
MEX,*,14275,0.0000,399.0000
MEX,*,14276,0.0000,399.0000
MEX,*,01430,0.0000,399.0000
MEX,*,14300,0.0000,399.0000
MEX,*,14307,0.0000,399.0000
MEX,*,14308,0.0000,399.0000
MEX,*,14309,0.0000,399.0000
MEX,*,14310,0.0000,399.0000
MEX,*,14320,0.0000,399.0000
MEX,*,14324,0.0000,399.0000
MEX,*,14325,0.0000,399.0000
MEX,*,14326,0.0000,399.0000
MEX,*,14327,0.0000,399.0000
MEX,*,14328,0.0000,399.0000
MEX,*,14329,0.0000,399.0000
MEX,*,14330,0.0000,399.0000
MEX,*,14334,0.0000,399.0000
MEX,*,14335,0.0000,399.0000
MEX,*,14336,0.0000,399.0000
MEX,*,14337,0.0000,399.0000
MEX,*,14338,0.0000,399.0000
MEX,*,14339,0.0000,399.0000
MEX,*,14340,0.0000,399.0000
MEX,*,14350,0.0000,399.0000
MEX,*,14356,0.0000,399.0000
MEX,*,14357,0.0000,399.0000
MEX,*,14358,0.0000,399.0000
MEX,*,14360,0.0000,399.0000
MEX,*,14370,0.0000,399.0000
MEX,*,14376,0.0000,399.0000
MEX,*,14377,0.0000,399.0000
MEX,*,14378,0.0000,399.0000
MEX,*,14380,0.0000,399.0000
MEX,*,14386,0.0000,399.0000
MEX,*,14387,0.0000,399.0000
MEX,*,14388,0.0000,399.0000
MEX,*,14389,0.0000,399.0000
MEX,*,14390,0.0000,399.0000
MEX,*,14399,0.0000,399.0000
MEX,*,01440,0.0000,399.0000
MEX,*,14400,0.0000,399.0000
MEX,*,14406,0.0000,399.0000
MEX,*,14408,0.0000,399.0000
MEX,*,14409,0.0000,399.0000
MEX,*,14410,0.0000,399.0000
MEX,*,14420,0.0000,399.0000
MEX,*,14426,0.0000,399.0000
MEX,*,14427,0.0000,399.0000
MEX,*,14428,0.0000,399.0000
MEX,*,14429,0.0000,399.0000
MEX,*,14430,0.0000,399.0000
MEX,*,14438,0.0000,399.0000
MEX,*,14439,0.0000,399.0000
MEX,*,14440,0.0000,399.0000
MEX,*,14449,0.0000,399.0000
MEX,*,14450,0.0000,399.0000
MEX,*,14456,0.0000,399.0000
MEX,*,14460,0.0000,399.0000
MEX,*,14470,0.0000,399.0000
MEX,*,14476,0.0000,399.0000
MEX,*,14479,0.0000,399.0000
MEX,*,14480,0.0000,399.0000
MEX,*,14490,0.0000,399.0000
MEX,*,01450,0.0000,399.0000
MEX,*,14500,0.0000,399.0000
MEX,*,14520,0.0000,399.0000
MEX,*,14529,0.0000,399.0000
MEX,*,14550,0.0000,399.0000
MEX,*,01460,0.0000,399.0000
